WN,WP,VM
1.613601,1.5000000000000002e-07,0.5928682337396646
1.613601,1.692e-07,0.5941242156650325
1.613601,1.8840000000000002e-07,0.5968977961591091
1.613601,2.076e-07,0.6001586556405453
1.613601,2.2680000000000002e-07,0.6035839806391944
1.613601,2.46e-07,0.6070442255653415
1.613601,2.652e-07,0.6104866792863698
1.613601,2.844e-07,0.6138796721444443
1.613601,3.0360000000000005e-07,0.6172135901133045
1.613601,3.228e-07,0.6204813844281358
1.613601,3.42e-07,0.6236804044639903
1.613601,3.6120000000000003e-07,0.6268112912084175
1.613601,3.804e-07,0.6298756337337141
1.613601,3.9960000000000006e-07,0.6328754834071908
1.613601,4.188e-07,0.6358130870096479
1.613601,4.3800000000000003e-07,0.638690723157592
1.613601,4.572e-07,0.6415105984865861
1.613601,4.764e-07,0.6442748020622358
1.613601,4.956000000000001e-07,0.6469853855522086
1.613601,5.148e-07,0.649647183807873
1.613601,5.34e-07,0.6522592370053342
1.613601,5.532000000000001e-07,0.6548245561530815
1.613601,5.724e-07,0.6573458309990884
1.613601,5.916000000000001e-07,0.6598233729900425
1.613601,6.108e-07,0.662260305914376
1.613601,6.3e-07,0.6646574233288072
1.613601,6.492000000000001e-07,0.6670154114622463
1.613601,6.684e-07,0.6693383455144245
1.613601,6.876000000000001e-07,0.6716249604511367
1.613601,7.068e-07,0.6738768662094623
1.613601,7.26e-07,0.6760962134622053
1.613601,7.452000000000001e-07,0.678284126865253
1.613601,7.644e-07,0.6804408798408803
1.613601,7.836000000000001e-07,0.6825675998258814
1.613601,8.028e-07,0.6846653290943063
1.613601,8.22e-07,0.6867350211523962
1.613601,8.412000000000001e-07,0.6887775615930992
1.613601,8.604000000000001e-07,0.6907937692979086
1.613601,8.796000000000001e-07,0.6927844191836164
1.613601,8.988e-07,0.6947502304277496
1.613601,9.18e-07,0.696691877410151
1.613601,9.372000000000001e-07,0.6986099963224552
1.613601,9.564e-07,0.7005051867170943
1.613601,9.756e-07,0.7023780076041317
1.613601,9.948e-07,0.7042289893377673
1.613601,1.014e-06,0.7060586186607961
1.613601,1.0332e-06,0.7078680867760591
1.613601,1.0523999999999999e-06,0.7096575850425514
1.613601,1.0716e-06,0.7114272104002093
1.613601,1.0908e-06,0.7131773464352444
1.613601,1.11e-06,0.7149087836556698
1.613601,1.1292e-06,0.7166224680252858
1.613601,1.1484e-06,0.7183178731362821
1.613601,1.1675999999999998e-06,0.7199952900511832
1.613601,1.1868e-06,0.7216565609955669
1.613601,1.206e-06,0.7233006015940818
1.613601,1.2252e-06,0.7249279043545699
1.613601,1.2443999999999999e-06,0.7265398633800337
1.613601,1.2636e-06,0.7281354770287641
1.613601,1.2827999999999998e-06,0.7297160343709473
1.613601,1.302e-06,0.7312814042498297
1.613601,1.3212e-06,0.7328317660249534
1.613601,1.3404e-06,0.7343679666510508
1.613601,1.3595999999999999e-06,0.7358894650146822
1.613601,1.3788e-06,0.7373975067926989
1.613601,1.3979999999999998e-06,0.7388913200334494
1.613601,1.4172e-06,0.7403721671693241
1.613601,1.4364e-06,0.7418393729106192
1.613601,1.4555999999999999e-06,0.7432939299420741
1.613601,1.4748e-06,0.744735526706303
1.613601,1.494e-06,0.746164630110972
1.613601,1.5132e-06,0.7475815501231402
1.613601,1.5324e-06,0.7489860022315983
1.613601,1.5516e-06,0.7503791102328977
1.613601,1.5707999999999999e-06,0.7517601449483771
1.613601,1.59e-06,0.7531297457415557
1.613601,1.6092e-06,0.7544881854252533
1.613601,1.6284e-06,0.7558352365103046
1.613601,1.6476e-06,0.7571715196834138
1.613601,1.6668e-06,0.7584970455385477
1.613601,1.6859999999999998e-06,0.7598117855943188
1.613601,1.7052e-06,0.7611161929197422
1.613601,1.7244e-06,0.7624104024589382
1.613601,1.7436e-06,0.7636943401480747
1.613601,1.7627999999999999e-06,0.7649682516059038
1.613601,1.782e-06,0.7662325659617617
1.613601,1.8011999999999998e-06,0.7674870874765822
1.613601,1.8204e-06,0.768732002881845
1.613601,1.8395999999999997e-06,0.7699675172788102
1.613601,1.8587999999999999e-06,0.7711939099175307
1.613601,1.8779999999999998e-06,0.772411102195358
1.613601,1.8971999999999998e-06,0.773619246198564
1.613601,1.9164e-06,0.7748185050132362
1.613601,1.9355999999999997e-06,0.7760090413131779
1.613601,1.9548e-06,0.7771910059444581
1.613601,1.974e-06,0.7783644029520869
1.613601,1.9932e-06,0.7795293789816573
1.613601,2.0124e-06,0.7806860695274521
1.613601,2.0316e-06,0.7818345944855225
1.613601,2.0508e-06,0.7829750828808923
1.613601,2.0699999999999997e-06,0.7841076155202319
1.613601,2.0892e-06,0.785232266710216
1.613601,2.1084e-06,0.7863491453627711
1.613601,2.1276e-06,0.7874583615469215
1.613601,2.1468e-06,0.7885600257390375
1.613601,2.1659999999999997e-06,0.7896542328931578
1.613601,2.1852e-06,0.7907410806034944
1.613601,2.2044e-06,0.7918206638912503
1.613601,2.2235999999999998e-06,0.7928930658458944
1.613601,2.2428e-06,0.7939583835512517
1.613601,2.262e-06,0.79501667993898
1.613601,2.2812e-06,0.7960680131805521
1.613601,2.3003999999999996e-06,0.7971125007792911
1.613601,2.3195999999999998e-06,0.7981502227208874
1.613601,2.3388e-06,0.7991812629439294
1.613601,2.358e-06,0.8002057010564264
1.613601,2.3772000000000003e-06,0.8012236205227499
1.613601,2.3963999999999996e-06,0.8022350866769529
1.613601,2.4156e-06,0.803240179546631
1.613601,2.4348e-06,0.8042389746733597
1.613601,2.454e-06,0.805231544572187
1.613601,2.4732e-06,0.8062179520321706
1.613601,2.4923999999999996e-06,0.8071982770585566
1.613601,2.5116e-06,0.8081725829063025
1.613601,2.5308e-06,0.8091409438348438
1.613601,2.5499999999999997e-06,0.8101034166168565
1.613601,2.5692e-06,0.8110600784921107
1.613601,2.5884e-06,0.8120109814490931
1.613601,2.6076e-06,0.8129561067149216
1.613601,2.6267999999999996e-06,0.8138955755261426
1.613601,2.6459999999999997e-06,0.8148294708243055
1.613601,2.6652e-06,0.815757863935626
1.613601,2.6844e-06,0.8166808078490976
1.613601,2.7036e-06,0.817598367311845
1.613601,2.7227999999999996e-06,0.8185105990871423
1.613601,2.7419999999999998e-06,0.819417572139589
1.613601,2.7612e-06,0.8203193336226761
1.613601,2.7804e-06,0.8212159459253333
1.613601,2.7996e-06,0.8221074601836109
1.613601,2.8188e-06,0.8229939210742466
1.613601,2.8379999999999998e-06,0.8238750793340243
1.613601,2.8572e-06,0.8247513137440041
1.613601,2.8763999999999997e-06,0.8256226811590756
1.613601,2.8956e-06,0.8264892361755931
1.613601,2.9148e-06,0.8273510258655151
1.613601,2.934e-06,0.8282081009504525
1.613601,2.9531999999999995e-06,0.82906051463811
1.613601,2.9723999999999997e-06,0.8299080005906259
1.613601,2.9916e-06,0.8307507423622353
1.613601,3.0108e-06,0.8315889917940045
1.613601,3.03e-06,0.8324227941176476
1.613601,3.0492e-06,0.8332521912861087
1.613601,3.0683999999999997e-06,0.8340772305299796
1.613601,3.0876e-06,0.834897566332765
1.613601,3.1067999999999996e-06,0.8357133881675807
1.613601,3.126e-06,0.8365250207537778
1.613601,3.1452e-06,0.8373325056625952
1.613601,3.1644e-06,0.8381358711344848
1.613601,3.1836e-06,0.8389348993320458
1.613601,3.2027999999999996e-06,0.8397293765675901
1.613601,3.222e-06,0.8405199215827412
1.613601,3.2412e-06,0.84130655650093
1.613601,3.2604e-06,0.842089312454239
1.613601,3.2796e-06,0.8428676568829514
1.613601,3.2987999999999997e-06,0.8436418740863054
1.613601,3.318e-06,0.8444123866712658
1.613601,3.3372e-06,0.8451792159508572
1.613601,3.3563999999999997e-06,0.8459421097222163
1.613601,3.3756e-06,0.846700615271202
1.613601,3.3948e-06,0.8474556104972121
1.613601,3.414e-06,0.8482071092056918
1.613601,3.4331999999999996e-06,0.8489549025354036
1.613601,3.4523999999999998e-06,0.8496983074679972
1.613601,3.4716e-06,0.8504383950105523
1.613601,3.4908e-06,0.8511751570788975
1.613601,3.5099999999999994e-06,0.8519081476168687
1.613601,3.5291999999999996e-06,0.8526370654006656
1.613601,3.5483999999999998e-06,0.8533628345627478
1.613601,3.5676e-06,0.8540854414042339
1.613601,3.5868e-06,0.8548039101199788
1.613601,3.606e-06,0.855518941298658
1.613601,3.6251999999999996e-06,0.8562309723720631
1.613601,3.6443999999999998e-06,0.8569396693748065
1.613601,3.6636e-06,0.8576442270205786
1.613601,3.6827999999999997e-06,0.8583459443496528
1.613601,3.702e-06,0.8590448004191858
1.613601,3.7212e-06,0.8597394077940617
1.613601,3.7404e-06,0.860431077283373
1.613601,3.7595999999999995e-06,0.8611200355231491
1.613601,3.7787999999999997e-06,0.8618051762873887
1.613601,3.798e-06,0.862487072939041
1.613601,3.8172e-06,0.8631663942999092
1.613601,3.836399999999999e-06,0.8638422058844208
1.613601,3.8556e-06,0.864514609714257
1.613601,3.8748e-06,0.8651845713326376
1.613601,3.894e-06,0.8658511726739594
1.613601,3.913199999999999e-06,0.8665143530729914
1.613601,3.9324e-06,0.8671752233078441
1.613601,3.9515999999999996e-06,0.8678327233634819
1.613601,3.9708e-06,0.8684869636155986
1.613601,3.99e-06,0.8691390090115231
1.613601,4.0092e-06,0.8697875086920208
1.613601,4.0284e-06,0.8704330838755323
1.613601,4.0476e-06,0.8710765738583093
1.613601,4.0668e-06,0.871716171832417
1.613601,4.086e-06,0.8723533620120978
1.613601,4.1052e-06,0.8729884757272051
1.613601,4.1244e-06,0.8736193547187188
1.613601,4.1436e-06,0.8742484178609022
1.613601,4.162799999999999e-06,0.8748747492611646
1.613601,4.182e-06,0.8754976847770618
1.613601,4.2012e-06,0.8761188800836428
1.613601,4.2203999999999994e-06,0.8767365292817481
1.613601,4.2396e-06,0.877351782845981
1.613601,4.2588e-06,0.8779651209265152
1.613601,4.2779999999999995e-06,0.8785744360553992
1.613601,4.2972e-06,0.8791822606190182
1.613601,4.3164e-06,0.8797870084962994
1.613601,4.3356000000000005e-06,0.880389091900233
1.613601,4.3548e-06,0.88098963764217
1.613601,4.373999999999999e-06,0.8815860041599267
1.613601,4.3932e-06,0.8821810827743797
1.613601,4.4123999999999995e-06,0.8827731403334341
1.613601,4.4316e-06,0.8833627054751916
1.613601,4.4508e-06,0.8839506288231436
1.613601,4.4699999999999996e-06,0.8845347111133656
1.613601,4.4892e-06,0.8851176846215695
1.613601,4.5084e-06,0.8856972357753579
1.613601,4.5276e-06,0.8862749315370625
1.613601,4.5468e-06,0.8868503969700191
1.613601,4.566e-06,0.8874228596901618
1.613601,4.585200000000001e-06,0.8879943100011082
1.613601,4.6043999999999995e-06,0.8885615890569635
1.613601,4.623599999999999e-06,0.8891280520194164
1.613601,4.6428e-06,0.8896912284572922
1.613601,4.662e-06,0.890252714243195
1.613601,4.681199999999999e-06,0.8908118937060372
1.613601,4.7004e-06,0.8913684562375519
1.613601,4.7196e-06,0.891923689848916
1.613601,4.7388e-06,0.8924753859678046
1.613601,4.758e-06,0.8930265009691034
1.613601,4.7772e-06,0.893573613565406
1.613601,4.7964e-06,0.8941200645596636
1.613601,4.815599999999999e-06,0.8946632383097154
1.613601,4.8348e-06,0.8952050939620877
1.613601,4.854e-06,0.8957443643086618
1.613601,4.873199999999999e-06,0.8962816864187074
1.613601,4.8924e-06,0.8968170925311685
1.613601,4.9116e-06,0.8973499517207462
1.613601,4.9307999999999994e-06,0.8978815156989647
1.613601,4.95e-06,0.8984099848851826
1.613601,4.9692e-06,0.8989377311650496
1.613601,4.9884e-06,0.8994618881421187
1.613601,5.0076e-06,0.8999858425035652
1.613601,5.0268e-06,0.900505755333519
1.613601,5.046e-06,0.9010257023203175
1.613601,5.065199999999999e-06,0.9015416895813549
1.613601,5.084399999999999e-06,0.902057579897934
1.613601,5.1036e-06,0.9025697811206954
1.613601,5.1227999999999995e-06,0.9030816983418029
1.613601,5.142e-06,0.9035901276255839
1.613601,5.1612e-06,0.9040981444342067
